"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
00341202-29f4-4332-acde-94c1a50ee5bd,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,448b6a79-e665-4348-b4ae-29fd26872130,"#N/A","#N/A",WDCHIP
01170b17-d9e2-4362-b7c3-202a21941bc9,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,9a1c12de-45d7-4c2b-a6f3-d1449421b231,"#N/A","#N/A",EP-025
01a82cd6-318c-46c3-82e5-dbf0a3a5c47f,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,bf473de6-bfbb-4008-b322-faf9ecaaa214,"#N/A","#N/A",Run-on-all-quotelines
0279d25c-ad0d-4976-9c7f-3f141fc1954c,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,cffaea21-c34d-457f-863c-380335474a26,"#N/A","#N/A","#N/A"
040859e6-fde4-48f0-a4b7-346e58721e93,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,3d7838d7-69dc-463c-a001-6d16f8d300f5,"#N/A","#N/A",Quote
0620b1b3-e5eb-449c-b9af-c7d95a4d78e4,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,8eae9f1a-3ca8-4313-a34e-3ce0143ed4ef,"#N/A","#N/A","#N/A"
07922c89-32ab-4314-93f7-29974107fdc4,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,e6584c8e-b958-4631-af8b-41175fb2af78,"#N/A","#N/A",EP-013
0a0fe0fc-7f48-496d-bde7-2a5b0144851e,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,146c1778-d512-4a02-9ab3-b21c89821078,"#N/A","#N/A",0
0bbd70af-fffd-4a45-8e6d-8c748f2513eb,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,47acd0d6-cfaf-4732-88c2-d5584d922592,"#N/A","#N/A",fdhfvu6578
0e7cd9a3-725b-4b6e-8793-da7598cc5897,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,591cd5ec-4ea8-4ccd-9a47-e36cb93610aa,"#N/A","#N/A",EP-015
103048f0-e655-4f2e-8a8e-a0e4816ffbaf,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,cc9ac6c8-26f3-4405-b015-d974cf3ef004,"#N/A","#N/A",Quote
118544bc-f827-4063-9c73-0964f3586bbc,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,591cd5ec-4ea8-4ccd-9a47-e36cb93610aa,"#N/A","#N/A",Quote
1adb69bd-ce4e-4cee-aaa4-188005715f04,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,0d3450f3-dfcf-4ccd-a3ef-a27a82a193f4,"#N/A","#N/A",EP-025
1af54b49-43c8-434a-8acf-5e1d7f8195fe,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,4e3eff86-6063-4190-beb0-39c3e6b282a5,"#N/A","#N/A","#N/A"
1c2e78b6-1fdf-4726-8c17-9c626906541c,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,539f9063-b95e-4d48-9dca-b02fa06b5ce4,"#N/A","#N/A",EP-014
208f82d9-5217-42e7-bc28-59e657634dde,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,2a4193c4-d7f0-45be-b755-a0e3e38d2b67,"#N/A","#N/A",EP-013
22d2efc5-b37f-4f4a-bbdf-8c1c1859d67d,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,07aa919a-b192-49be-8ce7-d5e54f5b09b8,"#N/A","#N/A",0
23034cd1-e1b2-4ad1-b2c4-c975fbc23f46,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,90410dfa-fb54-4ad7-adea-ba2911d145ff,"#N/A","#N/A","#N/A"
24553305-fb1f-448c-8b6b-7f020ffb1896,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,1f94e869-8e50-45b5-ae8f-561b1f206dd4,"#N/A","#N/A",Quote
29db4138-b81f-4900-92ba-d11b0686369a,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,5e797926-0b3c-468c-819a-edbac82a96c5,"#N/A","#N/A",Run-on-all-quotelines
2a852e14-1802-46b4-a05a-b0bb856031db,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,539f9063-b95e-4d48-9dca-b02fa06b5ce4,"#N/A","#N/A",Quote
2c2b1a8e-c5f7-408f-a907-46168a4f3309,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,0d3450f3-dfcf-4ccd-a3ef-a27a82a193f4,"#N/A","#N/A",Quote
321015ff-0ad6-4724-8a0b-b62561da5cc7,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,0e5ed02f-64cc-4688-af2e-b491ac179b68,"#N/A","#N/A",EP-025
38e5e7c3-245a-4dab-be1a-26d6af5ef799,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,0d3450f3-dfcf-4ccd-a3ef-a27a82a193f4,"#N/A","#N/A",EP-014
3af64a89-9c54-42ea-9be7-b267fba10fe4,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,7e099b21-5b2b-4c13-93f8-0c004ecaa253,"#N/A","#N/A",EP-013
4287af31-dbeb-4f14-b772-92c43a54dd89,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,e8fb694f-b5c9-412a-8bd2-3d24995f2521,"#N/A","#N/A",fdhfvu6578
4536f3ea-7af4-4cb9-89af-7b0fb872e2d2,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,ad5c3462-052c-44be-8deb-5a34785bedb8,"#N/A","#N/A",WDCHIP
46683808-0d2e-4371-bcc8-13c2b0920664,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,07aa919a-b192-49be-8ce7-d5e54f5b09b8,"#N/A","#N/A",EP-025
50c638bd-908c-4bfe-bcfd-1cbc46452df7,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,cc9ac6c8-26f3-4405-b015-d974cf3ef004,"#N/A","#N/A",EP-025
50ccba60-2a06-4996-876d-85ef1441f79e,Product Code,"#N/A",Value,"#N/A","#N/A",Quote,not equals,1e506309-381c-46b0-a4dd-bec272274c00,"#N/A","#N/A",123
53a164f1-0e58-460f-92ca-f3bb05f5fac7,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,0e5ed02f-64cc-4688-af2e-b491ac179b68,"#N/A","#N/A",Quote
59e746ab-39c8-48e7-9c44-3e244dfe9880,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,33b019c9-21e4-4016-9e33-a82a8c5f500e,"#N/A","#N/A",EP-025
5ad94795-b681-4913-95da-b8694bbf7bb8,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,cc9ac6c8-26f3-4405-b015-d974cf3ef004,"#N/A","#N/A",EP-015
5f327308-290b-4b33-b3f9-87d7f8643792,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,a8f8e9d4-7871-4a74-818f-5621b621248b,"#N/A","#N/A",Run-on-all-quotelines
5f6b6227-0fbc-441f-991c-2d5010950c23,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,6ac3719a-1809-4087-a90b-988d127fdbe1,"#N/A","#N/A",EP-013
622c9d25-a62a-4582-a993-f9e94be51c8a,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,73c48a60-7b04-4684-90ee-ed4ba47d7a20,"#N/A","#N/A","#N/A"
62308190-3c29-480b-bebb-3d2c01d3086c,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,e5ffed5e-80c0-461f-9b98-ea194422953d,"#N/A","#N/A","#N/A"
6691fcab-14b1-4f31-9d62-dcaabc3a1269,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,33b019c9-21e4-4016-9e33-a82a8c5f500e,"#N/A","#N/A",Quote
67ceec4c-9814-43e4-a077-ca5ff15c87c1,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,a435aa63-e101-4f21-b40d-239f55633491,"#N/A","#N/A","#N/A"
681c9d80-7388-4fe4-b9b6-4aad9b9c7daa,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,0d3450f3-dfcf-4ccd-a3ef-a27a82a193f4,"#N/A","#N/A",EP-015
6a4405e5-830f-460d-8de0-31896f866798,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,a7d70952-8fef-4fd4-b1ce-71b83d2a1ef1,"#N/A","#N/A","#N/A"
6b054d13-0b9b-4c11-b2d1-876d25f6e4ee,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,591cd5ec-4ea8-4ccd-9a47-e36cb93610aa,"#N/A","#N/A",EP-014
7311eee0-c107-4fc4-9dc9-fae0d235f319,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,edc47dac-4743-4e5b-be80-83c14b41e9c1,"#N/A","#N/A",EP-025
74464d2d-f4f4-4a1b-b2a8-61d51a966401,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,9d4705de-1331-4d3a-bab7-4c689d38b2fe,"#N/A","#N/A",WDCHIP
764b9094-5d68-450b-967b-f2047260ce31,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,0e5ed02f-64cc-4688-af2e-b491ac179b68,"#N/A","#N/A",EP-015
7b00d633-cca7-4131-8eed-2c4f9d19e154,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,905bef63-85d0-400d-a10d-fcfbf6ba920a,"#N/A","#N/A","#N/A"
7bc6166a-f3f2-4bf0-9b83-5637e1801c68,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,1f94e869-8e50-45b5-ae8f-561b1f206dd4,"#N/A","#N/A",EP-015
81188f50-c99e-4adc-ba35-551587c6e79e,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,a61a6547-61ee-4cf2-8e04-8d98be489bd2,"#N/A","#N/A",WDCHIP
8158bd12-efb0-47dc-ac36-18e025c9940f,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,fb33dce1-1927-414e-9730-80cf6bf1a241,"#N/A","#N/A","#N/A"
834b2be0-ca72-42d6-9bf3-07e233d3933d,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,0e5ed02f-64cc-4688-af2e-b491ac179b68,"#N/A","#N/A",EP-014
8391d9b4-1d82-4748-9321-e6c1e80f2cbc,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,5628fc15-9d22-49fc-929a-225a03e5fc7d,"#N/A","#N/A",EP-025
89bc2d28-7420-45de-b4de-1b77e865534e,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,5628fc15-9d22-49fc-929a-225a03e5fc7d,"#N/A","#N/A",0
8b4d6a35-0ccc-42ea-96b9-93ae672121ca,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,390e6136-378b-4d13-97b5-e9be8bdf55cc,"#N/A","#N/A","#N/A"
93eca528-461e-40d3-8295-da3a562a4952,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,3d7838d7-69dc-463c-a001-6d16f8d300f5,"#N/A","#N/A",EP-014
9660b6e6-e9f8-48f6-8958-04d61505f955,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,19676d5c-57ec-4057-b967-6929fc468fbf,"#N/A","#N/A","#N/A"
9a856327-a137-4ae8-8428-f4b53efb93c3,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,1f94e869-8e50-45b5-ae8f-561b1f206dd4,"#N/A","#N/A",EP-014
9b40f49d-8c6c-4999-89c0-7b609ee0de65,Product Code,"#N/A",Value,"#N/A",333.0,Quote Line,equals,33b019c9-21e4-4016-9e33-a82a8c5f500e,"#N/A","#N/A",EP-015
9b4f2f48-90a0-4854-b87f-70d2e98a31fa,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,33b019c9-21e4-4016-9e33-a82a8c5f500e,"#N/A","#N/A",EP-014
9c8accf7-16ab-45c7-8545-a04189387219,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,36f73192-9eb9-44ae-9d27-8f18dc15d70f,"#N/A","#N/A",fdhfvu6578
9dd29cc7-538c-4a3f-b540-c3471d08fd8e,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,733b745b-b6d3-471f-a34b-a4eb9bc9c749,"#N/A","#N/A","#N/A"
9ead78c1-f523-48d7-ba95-000682b174d8,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,0370e566-8662-4446-8fd3-017d09f4703d,"#N/A","#N/A","#N/A"
9ffa974f-319e-4bf9-b118-e5bf90437f61,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,539f9063-b95e-4d48-9dca-b02fa06b5ce4,"#N/A","#N/A",EP-025
a07aefb4-6865-4f57-8639-96e544326a56,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,equals,bc41fb25-fa1a-4b06-a80c-38315de3e58e,"#N/A","#N/A",WDCHIP
a0c06680-d953-4064-9acf-2821e7471be0,Product Code,"#N/A",Value,"#N/A",222.0,Product Option,equals,384a9974-87dd-4ff8-9590-b279216fea8e,"#N/A","#N/A",EP-014
a4c855cf-c229-4926-ac50-2563fdf9b948,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,9a1c12de-45d7-4c2b-a6f3-d1449421b231,"#N/A","#N/A",0
a74454c4-3752-42e0-a157-89a4a8d3c6ba,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,6503c58c-6b66-407a-b777-da2e1c0d9a36,"#N/A","#N/A",fdhfvu6578
af2c5020-33dc-4339-b09c-259e8276b816,Protected_Devices__c,"#N/A",Value,"#N/A","#N/A",Product Option,greater than,edc47dac-4743-4e5b-be80-83c14b41e9c1,"#N/A","#N/A",0
b6f29ffb-158c-468f-9f7f-0295bcc9b0e2,Product Code,"#N/A",Value,"#N/A",444.0,Quote Line,equals,591cd5ec-4ea8-4ccd-9a47-e36cb93610aa,"#N/A","#N/A",EP-025
b76dcc4c-734c-44be-a150-2627d628b45c,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,e7627554-d5ce-401a-953c-2f974ce2a8e5,"#N/A","#N/A","#N/A"
bb618d07-5883-4879-879b-7dbfcdbccdbf,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,003f563a-a341-4a64-8860-7b28feee4323,"#N/A","#N/A","#N/A"
bd4436ef-1ee4-4e88-8727-5a54f6e3bd75,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,3a5ff427-89c4-4db3-9ffd-19da4d961b38,"#N/A","#N/A",Run-on-all-quotelines
bfb537aa-b45e-480c-86ea-2275cb41f6a7,SBQQ__Product__c,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,8bf3b5f0-9dd6-4a44-a5f6-9df1a3183895,"#N/A","#N/A","#N/A"
c0ad69a0-2002-4ec2-9c15-6e4f94b44056,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,f714e2eb-b210-4af9-877a-1a05f6f41321,"#N/A","#N/A",EP-025
c4f17b4f-c30a-492e-99ba-c9c26dfbb6b5,Product Code,"#N/A",Value,"#N/A",444.0,Product Option,equals,3d7838d7-69dc-463c-a001-6d16f8d300f5,"#N/A","#N/A",EP-025
c7a12738-ac67-4f7e-a30b-937ad44909c1,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,not equals,7dfd1171-b756-4aeb-bc34-70666369f23c,"#N/A","#N/A",Run-on-all-quotelines
ca1cb75b-a509-4608-9c63-4f72735cef0e,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,f714e2eb-b210-4af9-877a-1a05f6f41321,"#N/A","#N/A",Quote
ccbdca9e-62b6-4b19-8db8-653b2d060f32,Product Code,"#N/A",Value,"#N/A",222.0,Quote Line,equals,cc9ac6c8-26f3-4405-b015-d974cf3ef004,"#N/A","#N/A",EP-014
ce7e9586-d2e3-4233-a86d-6b7198d4d2c8,SBQQ__Type__c,"#N/A",Value,"#N/A",111.0,Quote,equals,384a9974-87dd-4ff8-9590-b279216fea8e,"#N/A","#N/A",Quote
cefba13f-603b-4c73-99ee-cdc1fc864933,SBQQ__ProductCode__c,"#N/A",Value,"#N/A","#N/A",Product Option,equals,2b7f6775-e1c0-45c3-a040-4ca3d3bf26f5,"#N/A","#N/A",EP-013
d69c8544-da3f-48f7-b8a1-18648f5c6b41,Product Code,"#N/A",Value,"#N/A",333.0,Product Option,equals,539f9063-b95e-4d48-9dca-b02fa06b5ce4,"#N/A","#N/A",EP-015
